FIPS,County,State,Longitude,Latitude,Population,cases
5005,Baxter,Arkansas,-92.3369,36.2872,42150,0
39027,Clinton,Ohio,-83.8084,39.4149,42014,0
27059,Isanti,Minnesota,-93.2951,45.5615,41934,0
55075,Marinette,Wisconsin,-88.0337,45.3834,41907,0
54069,Ohio,West Virginia,-80.6189,40.0969,41904,0
48459,Upshur,Texas,-94.9415,32.7363,41864,0
56037,Sweetwater,Wyoming,-108.8796,41.6595,41786,0
39033,Crawford,Ohio,-82.9198,40.8508,41767,0
48481,Wharton,Texas,-96.2221,29.2779,41651,0
47177,Warren,Tennessee,-85.7785,35.6787,41587,0
47021,Cheatham,Tennessee,-87.0868,36.2611,41500,0
26057,Gratiot,Michigan,-84.6049,43.2927,41478,0
27009,Benton,Minnesota,-93.9988,45.6991,41458,0
41007,Clatsop,Oregon,-123.6557,45.995,41343,0
22095,St. John the Baptist,Louisiana,-90.4709,30.1264,41342,0
13277,Tift,Georgia,-83.5266,31.4574,41322,0
51187,Warren,Virginia,-78.2085,38.9087,41104,0
42117,Tioga,Pennsylvania,-77.2543,41.7722,41078,0
1123,Tallapoosa,Alabama,-85.7975,32.8624,41070,0
6005,Amador,California,-120.6511,38.4464,41029,0
40041,Delaware,Oklahoma,-94.8026,36.4082,41017,0
55115,Shawano,Wisconsin,-88.7654,44.7892,40927,0
23013,Knox,Maine,-69.1686,44.141,40860,0
37139,Pasquotank,North Carolina,-76.2843,36.2955,40830,0
39135,Preble,Ohio,-84.648,39.7415,40802,0
12051,Hendry,Florida,-81.1659,26.5535,40798,0
18087,LaGrange,Indiana,-85.4265,41.6426,40596,0
26151,Sanilac,Michigan,-82.8203,43.4236,40574,0
26107,Mecosta,Michigan,-85.3246,43.6408,40321,0
16057,Latah,Idaho,-116.7117,46.8162,40315,0
13213,Murray,Georgia,-84.7481,34.7884,40282,0
12093,Okeechobee,Florida,-80.8886,27.3864,40249,0
29091,Howell,Missouri,-91.8865,36.774,40168,0
35039,Rio Arriba,New Mexico,-106.6931,36.5096,40165,0
39123,Ottawa,Ohio,-83.1435,41.5379,40161,0
42083,McKean,Pennsylvania,-78.569,41.8076,40149,0
27099,Mower,Minnesota,-92.7525,43.6715,40069,0
23027,Waldo,Maine,-69.1454,44.5028,40006,0
54019,Fayette,West Virginia,-81.0811,38.0288,39987,0
36121,Wyoming,New York,-78.2244,42.7024,39980,0
19127,Marshall,Iowa,-92.9988,42.0358,39971,0
51185,Tazewell,Virginia,-81.5606,37.125,39933,0
28113,Pike,Mississippi,-90.4042,31.1748,39930,0
29225,Webster,Missouri,-92.8759,37.2809,39868,0
18061,Harrison,Indiana,-86.1115,38.1951,39785,0
5093,Mississippi,Arkansas,-90.0522,35.7624,39749,0
42109,Snyder,Pennsylvania,-77.0702,40.7698,39711,0
36073,Orleans,New York,-78.2312,43.2521,39686,0
40135,Sequoyah,Oklahoma,-94.7552,35.4953,39676,0
47013,Campbell,Tennessee,-84.1494,36.4035,39568,0
56013,Fremont,Wyoming,-108.6304,43.0405,39472,0
51093,Isle of Wight,Virginia,-76.7259,36.8912,39444,0
40097,Mayes,Oklahoma,-95.2307,36.3019,39406,0
38105,Williams,North Dakota,-103.4802,48.3437,39368,0
27041,Douglas,Minnesota,-95.4535,45.9338,39354,0
55083,Oconto,Wisconsin,-88.2697,45.0264,39329,0
37145,Person,North Carolina,-78.9718,36.39,39275,0
51073,Gloucester,Virginia,-76.5434,37.416,39228,0
22009,Avoyelles,Louisiana,-92.0014,31.0763,39176,0
51109,Louisa,Virginia,-77.963,37.9786,39012,0
20037,Crawford,Kansas,-94.8518,37.5073,38963,0
48249,Jim Wells,Texas,-98.0899,27.7314,38863,0
4009,Graham,Arizona,-109.8875,32.9326,38860,0
39021,Champaign,Ohio,-83.7696,40.1377,38772,0
45029,Colleton,South Carolina,-80.667,32.8637,38623,0
19057,Des Moines,Iowa,-91.1815,40.9232,38597,0
54099,Wayne,West Virginia,-82.427,38.1459,38498,0
29109,Lawrence,Missouri,-93.833,37.1064,38392,0
5139,Union,Arkansas,-92.5972,33.1713,38368,0
42115,Susquehanna,Pennsylvania,-75.8007,41.8214,38349,0
17203,Woodford,Illinois,-89.2113,40.7883,38348,0
48049,Brown,Texas,-98.9998,31.7742,38294,0
39059,Guernsey,Ohio,-81.4943,40.052,38283,0
39039,Defiance,Ohio,-84.4905,41.3239,38258,0
42123,Warren,Pennsylvania,-79.2741,41.8145,38174,0
40123,Pontotoc,Oklahoma,-96.6844,34.728,38158,0
18107,Montgomery,Indiana,-86.8933,40.0404,38155,0
45071,Newberry,South Carolina,-81.6001,34.2898,38121,0
5063,Independence,Arkansas,-91.5697,35.7416,38120,0
46013,Brown,South Dakota,-98.3516,45.5898,38079,0
55085,Oneida,Wisconsin,-89.5218,45.7055,38007,0
20055,Finney,Kansas,-100.737,38.0443,38001,0
